import time: self [us] | cumulative | imported package
import time:       130 |        130 |   _io
import time:        18 |         18 |   marshal
import time:       174 |        174 |   posix
import time:       353 |        672 | _frozen_importlib_external
import time:       534 |        534 |   time
import time:       140 |        673 | zipimport
import time:        19 |         19 | faulthandler
import time:        25 |         25 |     _codecs
import time:       628 |        653 |   codecs
import time:      1887 |       1887 |   encodings.aliases
import time:       942 |        942 |   encodings.cp437
import time:      2302 |       5782 | encodings
import time:       446 |        446 | encodings.utf_8
import time:        47 |         47 | _signal
import time:       416 |        416 | encodings.latin_1
import time:        21 |         21 |     _abc
import time:       421 |        442 |   abc
import time:       560 |       1002 | io
import time:      1548 |       1548 | warnings
import time:        31 |         31 |       _stat
import time:       452 |        483 |     stat
import time:      1313 |       1313 |     _collections_abc
import time:       241 |        241 |       genericpath
import time:       304 |        544 |     posixpath
import time:      1479 |       3816 |   os
import time:       134 |        134 |   _sitebuiltins
import time:        36 |         36 |     _locale
import time:       120 |        155 |   _bootlocale
import time:      1483 |       1483 |   _distutils_hack
import time:       287 |        287 |   types
import time:       227 |        227 |     importlib
import time:       118 |        118 |       importlib.machinery
import time:       502 |        502 |               encodings.ascii
import time:       933 |       1435 |             _heapq
import time:       487 |       1921 |           heapq
import time:        50 |         50 |           itertools
import time:       121 |        121 |           keyword
import time:        37 |         37 |             _operator
import time:       320 |        356 |           operator
import time:       244 |        244 |           reprlib
import time:        34 |         34 |           _collections
import time:       734 |       3457 |         collections
import time:       148 |        148 |         collections.abc
import time:        26 |         26 |             _functools
import time:       726 |        751 |           functools
import time:       642 |       1393 |         contextlib
import time:       608 |        608 |           enum
import time:        38 |         38 |             _sre
import time:       310 |        310 |               sre_constants
import time:       422 |        732 |             sre_parse
import time:       400 |       1169 |           sre_compile
import time:       303 |        303 |           copyreg
import time:       475 |       2554 |         re
import time:      1498 |       9049 |       typing
import time:       503 |       9669 |     importlib.abc
import time:       622 |      10517 |   importlib.util
import time:        55 |         55 |   sitecustomize
import time:      4478 |      20922 | site
import time:      1208 |       1208 |         django.utils
import time:       765 |        765 |           math
import time:       582 |        582 |           _datetime
import time:       998 |       2343 |         datetime
import time:        40 |         40 |           errno
import time:       638 |        638 |           signal
import time:       173 |        173 |             _weakrefset
import time:       676 |        849 |           threading
import time:        26 |         26 |           pwd
import time:       435 |        435 |           grp
import time:        49 |         49 |           msvcrt
import time:       496 |        496 |           _posixsubprocess
import time:       645 |        645 |           select
import time:       822 |        822 |           selectors
import time:       748 |       4742 |         subprocess
import time:       501 |        501 |               weakref
import time:        47 |         47 |                   org
import time:        25 |         72 |                 org.python
import time:        14 |         85 |               org.python.core
import time:       273 |        858 |             copy
import time:       740 |       1597 |           django.utils.functional
import time:       444 |       2041 |         django.utils.regex_helper
import time:       913 |      11245 |       django.utils.version
import time:       794 |      12039 |     django
import time:       360 |      12398 |   django.core
import time:       870 |        870 |   pkgutil
import time:       778 |        778 |     gettext
import time:      1063 |       1841 |   argparse
import time:       565 |        565 |   difflib
import time:       568 |        568 |           _ast
import time:       794 |       1362 |         ast
import time:       345 |        345 |             _opcode
import time:       323 |        668 |           opcode
import time:       722 |       1389 |         dis
import time:       140 |        140 |             token
import time:       771 |        911 |           tokenize
import time:       273 |       1184 |         linecache
import time:      1628 |       5561 |       inspect
import time:       204 |        204 |           django.utils.itercompat
import time:       203 |        406 |         django.utils.hashable
import time:       602 |       1008 |       django.core.exceptions
import time:       318 |        318 |       django.utils.module_loading
import time:       582 |        582 |           asgiref
import time:       205 |        205 |                 concurrent
import time:       339 |        339 |                     traceback
